id,quantity,country,cost
0,1,Australia,26000
1,2,Australia,32000
2,3,Australia,46500
3,4,Australia,46500
4,5,Australia,46500
5,6,Australia,46500
6,7,Australia,89500
7,8,Australia,89500
8,9,Australia,89500
9,10,Australia,89500
10,11,Australia,89500
11,12,Australia,89500
12,13,Australia,123000
13,14,Australia,123000
14,15,Australia,123000
15,16,Australia,123000
16,17,Australia,123000
17,18,Australia,123000
18,19,Australia,123000
19,20,Australia,123000
20,21,Australia,123000
21,22,Australia,123000
22,23,Australia,123000
23,24,Australia,123000
24,25,Australia,149000
25,26,Australia,155000
26,27,Australia,169500
27,28,Australia,169500
28,29,Australia,169500
29,30,Australia,169500
30,31,Australia,212500
31,32,Australia,212500
32,33,Australia,212500
33,34,Australia,212500
34,35,Australia,212500
35,36,Australia,212500
36,37,Australia,246000
37,38,Australia,246000
38,39,Australia,246000
39,40,Australia,246000
40,41,Australia,246000
41,42,Australia,246000
42,43,Australia,246000
43,44,Australia,246000
44,45,Australia,246000
45,46,Australia,246000
46,47,Australia,246000
47,48,Australia,246000
48,49,Australia,272000
49,50,Australia,281000
50,51,Australia,281000
51,52,Australia,281000
52,53,Australia,281000
53,54,Australia,281000
54,55,Australia,281000
55,56,Australia,281000
56,57,Australia,281000
57,58,Australia,281000
58,59,Australia,281000
59,60,Australia,281000
60,61,Australia,281000
61,62,Australia,281000
62,63,Australia,281000
63,64,Australia,281000
64,65,Australia,281000
65,66,Australia,281000
66,67,Australia,281000
67,68,Australia,281000
68,69,Australia,281000
69,70,Australia,281000
70,71,Australia,281000
71,72,Australia,281000
72,1,Brazil,38300
73,2,Brazil,46500
74,3,Brazil,67500
75,4,Brazil,67500
76,5,Brazil,67500
77,6,Brazil,67500
78,7,Brazil,150300
79,8,Brazil,150300
80,9,Brazil,150300
81,10,Brazil,150300
82,11,Brazil,150300
83,12,Brazil,150300
84,13,Brazil,222200
85,14,Brazil,222200
86,15,Brazil,222200
87,16,Brazil,222200
88,17,Brazil,222200
89,18,Brazil,222200
90,19,Brazil,222200
91,20,Brazil,222200
92,21,Brazil,222200
93,22,Brazil,222200
94,23,Brazil,222200
95,24,Brazil,222200
96,25,Brazil,260500
97,26,Brazil,268700
98,27,Brazil,289700
99,28,Brazil,289700
100,29,Brazil,289700
101,30,Brazil,289700
102,31,Brazil,372500
103,32,Brazil,372500
104,33,Brazil,372500
105,34,Brazil,372500
106,35,Brazil,372500
107,36,Brazil,372500
108,37,Brazil,444400
109,38,Brazil,444400
110,39,Brazil,444400
111,40,Brazil,444400
112,41,Brazil,444400
113,42,Brazil,444400
114,43,Brazil,444400
115,44,Brazil,444400
116,45,Brazil,444400
117,46,Brazil,444400
118,47,Brazil,444400
119,48,Brazil,444400
120,49,Brazil,482700
121,50,Brazil,559300
122,51,Brazil,559300
123,52,Brazil,559300
124,53,Brazil,559300
125,54,Brazil,559300
126,55,Brazil,559300
127,56,Brazil,559300
128,57,Brazil,559300
129,58,Brazil,559300
130,59,Brazil,559300
131,60,Brazil,559300
132,61,Brazil,559300
133,62,Brazil,559300
134,63,Brazil,559300
